symbol,interval,open_time,open,high,low,close,volume,close_time,quote_volume,trade_count,taker_buy_base_volume,taker_buy_quote_volume
BTCUSDT,1h,2026-01-01T00:00:00+00:00,60000.0,60061.3717815,59880.79321094,59907.88309616,369.66044703,2026-01-01T00:59:59+00:00,22162600.83358018,3697.0,152.1521605,9122121.73714381
BTCUSDT,1h,2026-01-01T01:00:00+00:00,59907.88309616,59940.97192657,59829.6672284,59831.21228738,365.63115303,2026-01-01T01:59:59+00:00,21890171.75421046,5215.0,152.88596195,9153213.39017202
BTCUSDT,1h,2026-01-01T02:00:00+00:00,59831.21228738,59933.55369192,59173.12753787,59233.11704356,469.34077386,2026-01-01T02:59:59+00:00,27940872.23386111,2632.0,241.90789845,14401300.84416565
BTCUSDT,1h,2026-01-01T03:00:00+00:00,59233.11704356,59491.22333048,58419.51296319,58613.34146979,640.1403524,2026-01-01T03:59:59+00:00,37719136.74119182,5798.0,293.13425908,17272417.15100942
BTCUSDT,1h,2026-01-01T04:00:00+00:00,58613.34146979,58768.19721282,58535.83853157,58721.90620838,618.60193523,2026-01-01T04:59:59+00:00,36291905.64192612,5779.0,326.48739575,19154239.7222954
BTCUSDT,1h,2026-01-01T05:00:00+00:00,58721.90620838,59247.28102099,58615.59174299,59143.64878427,447.88647146,2026-01-01T05:59:59+00:00,26395193.76640007,5188.0,197.60381282,11645341.53310892
BTCUSDT,1h,2026-01-01T06:00:00+00:00,59143.64878427,59256.83935586,58923.48564511,58984.89957944,unknown,2026-01-01T06:59:59+00:00,32944870.99157146,3868.0,311.72979875,18412094.30405056
BTCUSDT,1h,2026-01-01T07:00:00+00:00,58984.89957944,59099.36506263,58901.13756355,59071.52200023,274.81173091,2026-01-01T07:59:59+00:00,16221644.77964575,4229.0,158.02430235,9327891.8291665
BTCUSDT,1h,2026-01-01T08:00:00+00:00,59071.52200023,59168.0756201,58975.17743929,59033.90318682,400.62059227,2026-01-01T08:59:59+00:00,23657732.69453688,2949.0,172.42586377,10182214.97675511
BTCUSDT,1h,2026-01-01T09:00:00+00:00,59033.90318682,59360.60741688,59031.58932918,,305.85738116,2026-01-01T09:59:59+00:00,18100797.6722648,2926.0,157.39579515,9314764.39008996
BTCUSDT,1h,2026-01-01T10:00:00+00:00,59327.12902749,59619.05974356,59273.41401947,59546.20390083,253.34405647,2026-01-01T10:59:59+00:00,15057926.18487155,3645.0,143.89779155,8552805.04127427
BTCUSDT,1h,2026-01-01T11:00:00+00:00,59546.20390083,59673.14539674,59310.60370199,59356.44643156,385.99230731,2026-01-01T11:59:59+00:00,22947754.17366007,4575.0,208.5510277,12398634.96139959
BTCUSDT,1h,2026-01-01T12:00:00+00:00,59356.44643156,59655.39337315,58637.859147,58679.80314352,318.07498699,2026-01-01T12:59:59+00:00,18772189.2742411,3432.0,128.66533541,7593586.82090456
BTCUSDT,1h,2026-01-01T13:00:00+00:00,58679.80314352,59093.45857882,58662.83433516,59023.91485579,439.90013155,2026-01-01T13:59:59+00:00,25888940.51584772,5327.0,243.54921116,14333323.83451449
BTCUSDT,1h,2026-01-01T14:00:00+00:00,59023.91485579,59272.45165786,58838.77920229,59207.59121316,565.22794578,2026-01-01T14:59:59+00:00,33413875.65088359,6337.0,288.20293655,17037333.62070776
BTCUSDT,1h,2026-01-01T15:00:00+00:00,59207.59121316,59559.07975893,59061.07673962,59395.73768206,473.20453668,2026-01-01T15:59:59+00:00,28061816.64955359,4146.0,228.58585388,13555521.60406001
BTCUSDT,1h,2026-01-01T16:00:00+00:00,59395.73768206,59587.00457286,58863.41081497,58928.4635926,389.8601239,2026-01-01T16:59:59+00:00,23064943.88472371,5454.0,174.13773646,10302354.28916553
BTCUSDT,1h,2026-01-01T17:00:00+00:00,58928.4635926,59315.32718091,58913.63375223,59158.22484413,407.3607887,2026-01-01T17:59:59+00:00,24051943.26799721,5126.0,197.0767909,11636072.80267735
BTCUSDT,1h,2026-01-01T18:00:00+00:00,59158.22484413,59270.20607093,58673.22821669,58845.70469166,353.76844382,2026-01-01T18:59:59+00:00,20873033.25815946,3068.0,189.3510277,11172082.66529151
BTCUSDT,1h,2026-01-01T19:00:00+00:00,58845.70469166,59083.63072547,58714.23467229,58798.12857435,454.95909381,2026-01-01T19:59:59+00:00,26761565.88761977,2198.0,254.58356396,14975093.17562045
BTCUSDT,1h,2026-01-01T20:00:00+00:00,58798.12857435,58872.39311306,58388.36691357,58520.46988765,513.45416276,2026-01-01T20:59:59+00:00,30118861.37488718,5483.0,226.81973042,13305086.43848145
BTCUSDT,1h,2026-01-01T21:00:00+00:00,58520.46988765,58626.36836483,58429.55707643,58570.45444638,410.75085977,2026-01-01T21:59:59+00:00,24047598.92096265,5009.0,176.72678411,10346551.25283751
BTCUSDT,1h,2026-01-01T22:00:00+00:00,58570.45444638,58905.52655366,58334.92716344,58838.93522049,448.04547325,2026-01-01T22:59:59+00:00,26302372.7787743,4401.0,201.82277848,11847944.62137003
BTCUSDT,1h,2026-01-01T23:00:00+00:00,58838.93522049,58903.26502556,58615.94980631,58707.41211933,578.89270504,2026-01-01T23:59:59+00:00,34023361.48976225,6898.0,346.53706621,20367083.17531014
BTCUSDT,1h,2026-01-02T00:00:00+00:00,58707.41211933,58736.04924471,58265.06644645,58311.52153231,437.46743656,2026-01-02T00:59:59+00:00,25595986.46685507,4396.0,247.50642213,14481468.79501793
BTCUSDT,1h,2026-01-02T01:00:00+00:00,58311.52153231,58554.10529368,58290.11359537,58540.73696046,551.31697359,2026-01-02T01:59:59+00:00,32211316.75471658,4479.0,236.69168305,13828978.86539149
BTCUSDT,1h,2026-01-02T02:00:00+00:00,58540.73696046,58548.08283322,58142.52196255,58461.49787327,348.61558149,2026-01-02T02:59:59+00:00,20394401.06615768,6411.0,157.65199786,9222818.03781597
BTCUSDT,1h,2026-01-02T03:00:00+00:00,58461.49787327,58508.81094503,57999.44623904,unknown,429.0033746,2026-01-02T03:59:59+00:00,24992256.61646024,3289.0,238.44478532,13890970.59911055
BTCUSDT,1h,2026-01-02T04:00:00+00:00,58051.60247124,58123.96841996,57806.3455967,57932.84631203,79.6701147,2026-01-02T04:59:59+00:00,4620247.16902027,6524.0,44.90738177,2604278.96055112
BTCUSDT,1h,2026-01-02T05:00:00+00:00,57932.84631203,57938.12980064,57347.48178943,57429.68444836,294.14270549,2026-01-02T05:59:59+00:00,16966523.45498566,4854.0,119.36194218,6884947.86345074
BTCUSDT,1h,2026-01-02T06:00:00+00:00,57429.68444836,57720.67196464,57419.52153268,57704.3558047,596.03304,2026-01-02T06:59:59+00:00,34311846.00971777,6467.0,350.11233503,20154923.83709334
BTCUSDT,1h,2026-01-02T07:00:00+00:00,57704.3558047,57990.96106431,57581.08575312,57602.6293523,351.2339205,2026-01-02T07:59:59+00:00,20249862.22865185,5742.0,156.42875801,9018664.23914911
BTCUSDT,1h,2026-01-02T08:00:00+00:00,57602.6293523,57753.10622523,57426.67343877,57679.43282699,223.37169485,2026-01-02T08:59:59+00:00,12875374.80740267,5860.0,118.52004037,6831617.33147751
BTCUSDT,1h,2026-01-02T09:00:00+00:00,57679.43282699,57694.33450752,57300.15889224,57346.10621254,265.14264367,2026-01-02T09:59:59+00:00,15249087.75512604,2401.0,147.54142843,8485516.16819041
BTCUSDT,1h,2026-01-02T10:00:00+00:00,57346.10621254,57477.23758908,57258.24769003,57346.45247791,602.91204418,2026-01-02T10:59:59+00:00,34574762.50607539,3753.0,358.32959414,20548869.00320119
BTCUSDT,1h,2026-01-02T11:00:00+00:00,57346.45247791,57976.37456419,57275.72338087,57883.32941188,594.10008404,2026-01-02T11:59:59+00:00,34229011.55208025,,257.83987135,14855416.06904689
BTCUSDT,1h,2026-01-02T12:00:00+00:00,57883.32941188,58069.68286863,57709.89995463,58022.10887812,283.30706786,2026-01-02T12:59:59+00:00,16418414.93550786,6590.0,168.86834763,9786379.92285471
BTCUSDT,1h,2026-01-02T13:00:00+00:00,58022.10887812,58599.74786748,57932.10238474,58539.90759407,346.35955385,2026-01-02T13:59:59+00:00,20186184.01036794,4776.0,139.53045708,8131975.71824066
BTCUSDT,1h,2026-01-02T14:00:00+00:00,58539.90759407,59071.25460676,58271.00743085,59040.14795077,360.82724594,2026-01-02T14:59:59+00:00,21213043.80993931,2404.0,203.95076322,11990271.03408927
BTCUSDT,1h,2026-01-02T15:00:00+00:00,59040.14795077,59352.09959132,58952.88153358,59330.19448475,384.01758892,2026-01-02T15:59:59+00:00,22728146.75074388,6000.0,198.64747304,11756984.70393088
BTCUSDT,1h,2026-01-02T16:00:00+00:00,59330.19448475,59453.64101283,59131.46363426,59308.37824461,605.419108,2026-01-02T16:59:59+00:00,35913029.43791705,4059.0,312.80174184,18555176.09974916
